会员号,手机号,等级
1,16106206013,普通
2,17022958978,银卡
3,13717053639,金卡
4,16275682684,普通
5,19310483530,普通
6,14083020638,银卡
7,13804163414,金卡
8,16039844309,普通
9,19486320291,普通
10,13923374922,银卡
11,14618147630,金卡
12,15204611123,普通
13,15265784869,普通
14,19705843232,银卡
15,14210409733,金卡
16,14099833752,普通
17,18219952511,普通
18,17469014374,银卡
19,15636848691,金卡
20,15818539419,普通
21,14864250290,普通
22,14861533736,银卡
23,15831512879,金卡
24,19743035385,普通
25,16137352165,普通
26,18923555402,银卡
27,13320664270,金卡
28,16188792328,普通
29,19282233433,普通
30,15702377539,银卡
31,16116293151,金卡
32,16598898006,普通
33,16022536487,普通
34,17727723901,银卡
35,15000635828,金卡
36,18835316550,普通
37,18648798699,普通
38,19550593221,银卡
39,18899809733,金卡
40,18252052047,普通
41,14070164757,普通
42,16405520648,银卡
43,19649592934,金卡
44,14528589560,普通
45,16519541434,普通
46,16561083278,银卡
47,13042983757,金卡
48,18978545170,普通
49,16243684846,普通
50,13743613569,银卡
51,14147519812,金卡
52,13663289156,普通
53,19403737239,普通
54,16999539978,银卡
55,14684619194,金卡
56,18003364123,普通
57,19093514401,普通
58,13943101948,银卡
59,16175009292,金卡
60,15911457765,普通
61,16998086435,普通
62,14852116965,银卡
63,15885008273,金卡
64,14987827643,普通
65,13897273349,普通
66,18070962823,银卡
67,13701669257,金卡
68,17343122242,普通
69,16919935246,普通
70,17446128315,银卡
71,18970936754,金卡
72,14289477527,普通
73,14776231417,普通
74,17843754272,银卡
75,16656148284,金卡
76,18276974744,普通
77,17488038791,普通
78,17367409397,银卡
79,14368808689,金卡
80,13971969394,普通
81,13259628725,普通
82,13011706860,银卡
83,18546039526,金卡
84,15553075238,普通
85,15836720755,普通
86,19946784185,银卡
87,19612239436,金卡
88,19829541443,普通
89,15264070180,普通
90,14891165170,银卡
91,19911597992,金卡
92,19224917110,普通
93,19967172898,普通
94,14414386819,银卡
95,16983412392,金卡
96,17949622085,普通
97,16562469789,普通
98,14722820860,银卡
99,18332470397,金卡
100,13748348170,普通
101,16349755122,普通
102,13729953118,银卡
103,14657536976,金卡
104,19714486974,普通
105,17675598807,普通
106,15541244482,银卡
107,15789315383,金卡
108,16332727805,普通
109,18401923886,普通
110,16381068140,银卡
111,19982914585,金卡
112,19540462048,普通
113,13985001507,普通
114,16325435275,银卡
115,19726877649,金卡
116,18700621697,普通
117,14716617982,普通
118,18803512767,银卡
119,17791418980,金卡
120,13836116909,普通
121,14699934096,普通
122,13331572024,银卡
123,16613558355,金卡
124,19104205563,普通
125,19182374714,普通
126,15178942166,银卡
127,18829785137,金卡
128,19750105973,普通
129,17850751617,普通
130,14228934645,银卡
131,19095359631,金卡
132,14135569843,普通
133,13310842438,普通
134,13710036573,银卡
135,13495073730,金卡
136,19357976362,普通
137,19372119764,普通
138,17237798731,银卡
139,14334970748,金卡
140,14987936558,普通
141,19330056866,普通
142,13751519777,银卡
143,14855319476,金卡
144,15888410583,普通
145,19524906227,普通
146,14213676831,银卡
147,18935679951,金卡
148,18794960966,普通
149,16928336440,普通
150,18552616420,银卡
151,19704649890,金卡
152,16689467968,普通
153,13014339140,普通
154,16356205140,银卡
155,14330311688,金卡
156,14970241844,普通
157,17264281758,普通
158,13659428598,银卡
159,19599964252,金卡
160,18118704244,普通
161,14456368879,普通
162,13343871424,银卡
163,15576862903,金卡
164,15089271791,普通
165,18355816224,普通
166,16672825735,银卡
167,18225791750,金卡
168,18547671308,普通
169,14126742914,普通
170,13162033271,银卡
171,16363668078,金卡
172,14307792416,普通
173,15373484957,普通
174,13092986684,银卡
175,13404840927,金卡
176,17923036834,普通
177,14709249555,普通
178,13454224960,银卡
179,18137746488,金卡
180,16987548751,普通
181,14867073630,普通
182,16247158648,银卡
183,13941159446,金卡
184,18181079257,普通
185,17536637982,普通
186,17657518989,银卡
187,15344278191,金卡
188,15677117485,普通
189,19621122885,普通
190,15775759434,银卡
191,14814949684,金卡
192,15927040444,普通
193,13161300948,普通
194,16251749857,银卡
195,18478917963,金卡
196,17836115824,普通
197,18791503472,普通
198,13095404618,银卡
199,17057328488,金卡
200,14376420955,普通
201,18393249511,普通
202,17772153979,银卡
203,13103459851,金卡
204,19771751649,普通
205,16333788159,普通
206,19729625023,银卡
207,15648996565,金卡
208,17130690210,普通
209,18490854962,普通
210,15228882844,银卡
211,14058717700,金卡
212,18121304361,普通
213,16197952141,普通
214,13205927788,银卡
